Slice,Count,Total Area,Average Size,%Area,Mean
aboisso_2.jpeg,1,150834,150834,82.411,255
aboisso_3.jpeg,1,152828,152828,83.500,255
aboisso_4.jpeg,1,169430,169430,92.571,255
aboisso_5.jpeg,1,157573,157573,86.093,255
aboisso_6.jpeg,1,161352,161352,88.157,255
aboisso_7.jpeg,1,159142,159142,86.950,255
aboisso_8.jpeg,1,165553,165553,90.453,255
adzope_1.jpeg,1,172773,172773,94.398,255
adzope_10.jpeg,1,159526,159526,87.160,255
adzope_2.jpeg,1,164265,164265,89.749,255
adzope_3.jpeg,1,160250,160250,87.555,255
adzope_4.jpeg,1,162871,162871,88.987,255
adzope_6.jpeg,1,151971,151971,83.032,255
adzope_7.jpeg,1,160780,160780,87.845,255
adzope_9.jpeg,1,160697,160697,87.800,255
agnibilekrou_1.jpeg,1,166165,166165,90.787,255
agnibilekrou_10.jpeg,1,160939,160939,87.932,255
agnibilekrou_2.jpeg,1,174320,174320,95.243,255
agnibilekrou_3.jpeg,1,156133,156133,85.306,255
agnibilekrou_4.jpeg,1,169388,169388,92.548,255
agnibilekrou_5.jpeg,1,169947,169947,92.854,255
agnibilekrou_6.jpeg,1,144976,144976,79.210,255
agnibilekrou_7.jpeg,1,142563,142563,77.892,255
agnibilekrou_8.jpeg,1,171103,171103,93.485,255
agnibilekrou_9.jpeg,1,156303,156303,85.399,255
azaguie_1.jpeg,1,151001,151001,82.502,255
azaguie_10.jpeg,1,157543,157543,86.076,255
azaguie_2.jpeg,1,163662,163662,89.420,255
azaguie_3.jpeg,1,154162,154162,84.229,255
azaguie_4.jpeg,1,138619,138619,75.737,255
azaguie_5.jpeg,1,159897,159897,87.363,255
azaguie_6.jpeg,1,132465,132465,72.375,255
azaguie_7.jpeg,1,173739,173739,94.925,255
azaguie_8.jpeg,1,167286,167286,91.400,255
azaguie_9.jpeg,1,150684,150684,82.329,255
biankouma_1.jpeg,1,161674,161674,88.333,255
biankouma_10.jpeg,1,167028,167028,91.259,255
biankouma_2.jpeg,1,166850,166850,91.161,255
biankouma_3.jpeg,1,165186,165186,90.252,255
biankouma_4.jpeg,1,161161,161161,88.053,255
biankouma_5.jpeg,1,143859,143859,78.600,255
biankouma_6.jpeg,1,157896,157896,86.269,255
biankouma_7.jpeg,1,156683,156683,85.606,255
biankouma_8.jpeg,1,159602,159602,87.201,255
biankouma_9.jpeg,1,166232,166232,90.824,255
ble_1.jpeg,1,158083,158083,86.371,255
ble_10.jpeg,1,171106,171106,93.487,255
ble_2.jpeg,1,168700,168700,92.172,255
ble_3.jpeg,1,167254,167254,91.382,255
ble_4.jpeg,1,169147,169147,92.416,255
ble_5.jpeg,1,166339,166339,90.882,255
ble_6.jpeg,1,141403,141403,77.258,255
ble_7.jpeg,1,169856,169856,92.804,255
ble_8.jpeg,1,147504,147504,80.591,255
ble_9.jpeg,1,164239,164239,89.735,255
bonon_1.jpeg,1,168500,168500,92.063,255
bonon_10.jpeg,1,156229,156229,85.358,255
bonon_2.jpeg,1,141299,141299,77.201,255
bonon_3.jpeg,1,148720,148720,81.256,255
bonon_4.jpeg,1,154045,154045,84.165,255
bonon_5.jpeg,1,144398,144398,78.894,255
bonon_6.jpeg,1,163214,163214,89.175,255
bonon_7.jpeg,1,149954,149954,81.930,255
bonon_8.jpeg,1,134482,134482,73.477,255
bonon_9.jpeg,1,147876,147876,80.795,255
fresco_1.jpeg,1,154768,154768,84.560,255
fresco_10.jpeg,1,162990,162990,89.052,255
fresco_2.jpeg,1,139928,139928,76.452,255
fresco_3.jpeg,1,163213,163213,89.174,255
fresco_4.jpeg,1,164808,164808,90.046,255
fresco_5.jpeg,1,133963,133963,73.193,255
fresco_6.jpeg,1,168405,168405,92.011,255
fresco_7.jpeg,1,165670,165670,90.517,255
fresco_8.jpeg,1,169237,169237,92.466,255
fresco_9.jpeg,1,141759,141759,77.453,255
grdbereby_1.jpeg,1,167462,167462,91.496,255
grdbereby_10.jpeg,1,158152,158152,86.409,255
grdbereby_2.jpeg,1,168265,168265,91.935,255
grdbereby_3.jpeg,1,155718,155718,85.079,255
grdbereby_4.jpeg,1,152179,152179,83.146,255
grdbereby_5.jpeg,1,156587,156587,85.554,255
grdbereby_6.jpeg,1,162323,162323,88.688,255
grdbereby_7.jpeg,1,163154,163154,89.142,255
grdbereby_8.jpeg,1,146743,146743,80.176,255
grdbereby_9.jpeg,1,167886,167886,91.727,255
gueyo_1.jpeg,1,167123,167123,91.311,255
gueyo_10.jpeg,1,151664,151664,82.864,255
gueyo_2.jpeg,1,152203,152203,83.159,255
gueyo_3.jpeg,1,163643,163643,89.409,255
gueyo_4.jpeg,2,163415,81707.500,89.285,255
gueyo_5.jpeg,1,161846,161846,88.427,255
gueyo_6.jpeg,1,155540,155540,84.982,255
gueyo_7.jpeg,1,149506,149506,81.685,255
gueyo_8.jpeg,1,153646,153646,83.947,255
gueyo_9.jpeg,1,149582,149582,81.727,255
guiberoua_1.jpeg,1,166865,166865,91.170,255
guiberoua_10.jpeg,1,162546,162546,88.810,255
guiberoua_2.jpeg,1,142897,142897,78.074,255
guiberoua_3.jpeg,1,160505,160505,87.695,255
guiberoua_4.jpeg,1,155510,155510,84.966,255
guiberoua_5.jpeg,1,160992,160992,87.961,255
guiberoua_6.jpeg,1,161900,161900,88.457,255
guiberoua_7.jpeg,1,153616,153616,83.931,255
guiberoua_8.jpeg,1,159643,159643,87.224,255
guiberoua_9.jpeg,1,156314,156314,85.405,255
guiglo_1.jpeg,1,173035,173035,94.541,255
guiglo_10.jpeg,1,162261,162261,88.654,255
guiglo_2.jpeg,1,160446,160446,87.662,255
guiglo_3.jpeg,1,164234,164234,89.732,255
guiglo_4.jpeg,1,161512,161512,88.245,255
guiglo_5.jpeg,1,168924,168924,92.295,255
guiglo_6.jpeg,1,143273,143273,78.280,255
guiglo_7.jpeg,1,146951,146951,80.289,255
guiglo_8.jpeg,1,141249,141249,77.174,255
guiglo_9.jpeg,1,150353,150353,82.148,255
meagui_1.jpeg,1,154175,154175,84.236,255
meagui_10.jpeg,1,149995,149995,81.952,255
meagui_2.jpeg,1,154964,154964,84.667,255
meagui_3.jpeg,1,159998,159998,87.418,255
meagui_4.jpeg,1,167712,167712,91.632,255
meagui_5.jpeg,1,162704,162704,88.896,255
meagui_6.jpeg,1,169731,169731,92.735,255
meagui_7.jpeg,1,169048,169048,92.362,255
meagui_8.jpeg,1,126966,126966,69.370,255
meagui_9.jpeg,1,167003,167003,91.245,255
sanpedro_1.jpeg,1,151517,151517,82.784,255
sanpedro_10.jpeg,1,166429,166429,90.931,255
sanpedro_2.jpeg,1,170885,170885,93.366,255
sanpedro_3.jpeg,1,164818,164818,90.051,255
sanpedro_4.jpeg,1,160290,160290,87.577,255
sanpedro_5.jpeg,1,156416,156416,85.461,255
sanpedro_6.jpeg,1,170964,170964,93.409,255
sanpedro_7.jpeg,1,147797,147797,80.751,255
sanpedro_8.jpeg,1,156573,156573,85.546,255
sanpedro_9.jpeg,1,167655,167655,91.601,255
soubre_1.jpeg,1,145148,145148,79.304,255
soubre_10.jpeg,1,161708,161708,88.352,255
soubre_2.jpeg,1,147709,147709,80.703,255
soubre_3.jpeg,1,149529,149529,81.698,255
soubre_4.jpeg,1,156223,156223,85.355,255
soubre_5.jpeg,1,155560,155560,84.993,255
soubre_6.jpeg,1,152227,152227,83.172,255
soubre_7.jpeg,1,169535,169535,92.628,255
soubre_8.jpeg,1,163318,163318,89.232,255
soubre_9.jpeg,1,166354,166354,90.890,255
